Status,Species,Prob.Rem,Site,Pyruvate,Alanine/Sarcosine,Lactate,Dimethylglycine,Serine,Glycerate,Uracil,Creatinine,Proline,Fumarate,Valine,Succinate/Methylmalonate,Homoserine/Threonine,Nicotinate,Taurine,Thymine,Pyroglutamic acid,Citraconate,N-Acetyl-beta-alanine,Leucine/Isoleucine,Asparagine,Ornithine,Aspartate,Malate,Homocysteine,Adenine,Hypoxanthine,Salicylate,Hydroxybenzoate,Histidinol,alpha-Ketoglutarate,Glutamine,Lysine,O-Acetyl-L-serine,Glutamate,2-Hydroxy-2-methylsuccinate,Methionine,3-Methylphenylacetic acid,Guanine,Xanthine,Vanillin,Hydroxyphenylacetate,2_3-Dihydroxybenzoate,Histidine,Orotate,Allantoin,Indole-3-carboxylate,2-Aminoadipate,Carnitine,Phenylpyruvate,Phenylalanine,Phenyllactic acid,Uric acid,3_4-Dihydroxyphenylacetate (DOPAC),Cysteate,1-Methylhistidine,Sulfolactate,Glycerone phosphate,D-Glyceraldehdye 3-phosphate,sn-Glycerol 3-phosphate,Aconitate,N-Acetylornithine,Arginine,Citrulline,Ascorbate,2-Isopropylmalate,Glucosamine,Hydroxyphenylpyruvate,myo-Inositol,Tyrosine,Homovanillic acid (HVA),Homocysteic acid,3-Phosphoglycerate,N-Acetylglutamine,Acetyllysine,Kynurenic acid,N-Acetylglutamate,Citrate/isocitrate,2-Dehydro-D-gluconate,D-Gluconate,Creatinol-O-phosphate,D-Erythrose 4-phosphate,Tryptophan,Kynurenine,D-Glucarate,Deoxyribose phosphate,Pantothenate,N-Acetylglucosamine,Deoxyuridine,Ribose phosphate,Thymidine,Cytidine,Uridine,Glucosamine phosphate,Glucose 6-phosphate,Glucose 1-phosphate,Thiamine,Adenosine,Inosine,1-Methyladenosine,Guanosine,Xanthosine,Ophthalmate,Sedoheptulose 1/7-phosphate,N-Acetylglucosamine 1/6-phosphate,Glutathione,dTMP,CMP,UMP,Trehalose/Sucrose/Cellobiose,AMP/dGMP,IMP,S-Adenosyl-L-methioninamine,GMP,Sedoheptoluse bisphosphate,S-Adenosyl-L-homocysteine,Trehalose 6-phosphate,CDP-ethanolamine,UDP-N-acetylglucosamine,Glutathione disulfide,NAD+
widespread,cuneatum,0.125,CA,6562232,2296089,1.48E+07,1538312,3285987,4.92E+07,39950.36,722.6453,361369.8,5932804,1693642,5688198,2912936,284826.4,69636.12,18175.17,2752921,1307313,282469.1,3134871,4251208,435494.9,1.01E+07,4.63E+08,6583.533,8666000,28385.01,316429.4,152999,0,1.06E+07,3805129,189283.9,3493.343,1.01E+07,7162386,577107.9,218952.7,31659.13,7708.457,75566.94,16444.39,5555.816,2490534,61499.66,45566.09,18138.63,65112.69,16858.83,43058.24,1.14E+07,18684.62,38196.21,286786.7,7075.551,14191.01,180917.9,979.0249,979.0249,2139446,6731748,122637.1,9370821,86169.83,7775.504,2454088,63666.14,53182.29,4574418,2.71E+07,12378.48,23045.87,4004.13,8876.747,302513.5,72933.73,279727.2,5.11E+07,175389.3,3128466,22083.04,845.9606,7152634,777.5516,34723.28,1038.48,3209325,200361.3,5180.153,23821.91,36307.51,216207.1,120346.2,3078.974,309771.5,49895.17,0,6180.387,307641.1,205199.7,1177521,38990.84,1954.192,0,29019.47,37588.1,7276.879,12184.68,81996.23,2351696,346622.6,13827.65,69953.96,30639.08,0,5243.919,8551.764,23164.52,187534.9,34257.66,13247.12
widespread,cuneatum,0.125,CA,1.49E+07,2900593,1.20E+07,945067.7,3761739,5.35E+07,116691,1019.964,615895,2.03E+07,3430248,8153086,3504597,359356.1,91733.73,49450.25,3563548,1032680,285981,5279302,2.52E+07,589631.3,1.03E+07,4.72E+08,15047.16,1.47E+07,89550.06,191197.5,183763.1,2294.692,2.07E+07,8226400,240436,33249.88,1.46E+07,9001371,659082.2,233222.9,22036.92,3890.679,61055.39,39142,8487.361,4101698,169256.2,32433.68,16799.22,40833.66,14045.92,100446.7,1.44E+07,31268.45,35151.59,183221.6,4918.878,9036.433,283817.7,23441.05,23441.05,3043315,5296932,475364.1,1.27E+07,382291,7247.223,3707026,74668.91,49149.25,4204324,3.32E+07,12513.32,90891.73,13357.82,14935.89,216022.1,176577.4,449125.5,3.30E+07,166380.3,2923560,26566.95,2409.281,1.02E+07,1404.989,49305.91,3860.49,6389558,306539.5,3736.851,44561.43,22815.3,290337.4,49527.88,2436.599,670455.3,47924.4,40515.21,22402.87,1570634,388331.5,665623.6,59745.94,2533.904,0,75874.48,361628.4,6915.213,23096.17,70304.04,3357027,2316947,148862.9,114499.2,21321.31,0,13002.78,24179.97,9548.955,293820.8,52164.19,16584.75
widespread,cuneatum,0.125,OM,1.88E+07,5105544,1.09E+07,3765647,6482282,4.49E+07,95774.77,2549.814,897125.3,1.65E+07,3161005,6157254,2741514,614653.6,82539.75,95673.37,5777774,867158.7,485788.4,5607998,1.78E+07,431364.1,9765849,3.72E+08,17521.97,1.23E+07,24183.9,210309.6,132202.7,1301.751,1.93E+07,1.67E+07,277663.1,9643.569,1.78E+07,2646578,1242871,203462,25639.96,8713.177,82405.68,38064.82,10581.11,3118256,530006,32526.41,15581.26,43113.07,24983.29,64019.33,1.58E+07,30299.42,38388.79,226776.5,6851.855,10477.74,342907.3,1021.651,1021.651,7501036,4199264,200671,9720335,218367.2,1477284,4582370,60984.88,52841.2,2700158,2.92E+07,38926.5,28726.33,12100.96,35743.6,190418,40328.59,578641.2,7.01E+07,259509.2,3843361,36219.61,9959.612,8723547,857.438,34728,808.8107,8376490,244204.5,5326.852,344447.5,34216.48,692175.6,71923.84,3202.332,686632.9,129210.5,12880.95,9230.275,460472.3,330629.6,859830.3,103085.8,12147.78,1840.418,157281.6,1074613,6434.391,61553.04,164005.7,1.05E+07,965210,47362.74,56697.97,88404.03,2801.495,11544.21,138231.7,33147.54,582241.3,289296,17695.15
widespread,cuneatum,0.125,OM,1.39E+07,2665739,1.91E+07,1464491,3607112,3.03E+07,62965.21,176938.7,518170.1,1.18E+07,3067234,4518752,2264911,318166.8,312530.6,43383.86,4078720,1384672,311495.8,4507340,1.67E+07,294525.5,1.36E+07,4.04E+08,13343.44,6858116,15091.79,221073.1,746031.3,0,1.93E+07,8136894,164366.2,5156.585,1.34E+07,800339,617404.4,602403.7,9480.493,3260.302,66431.37,25179.03,12480.27,2042084,65542.01,32508.34,13479.86,112154.2,10994.14,51885.82,1.20E+07,59135.57,947814.8,338965.1,3805.586,15591.92,221130.6,0,0,1230846,6516068,316681.5,5788512,560513.2,20340.5,2135347,82881.09,69357.79,2271438,2.82E+07,17564.28,20553.28,2297.792,12097.1,238198,223401,223414.6,7.28E+07,275260.1,2619422,28428.47,7108.352,1.04E+07,50307.02,24186.72,902.9731,5847666,296534,15946.95,94960.09,71328.73,411766.8,283974.2,3441.603,468294.3,34392.75,19992.4,5575.345,296451.6,453162,1252376,28467.18,2133.126,0,60936.12,250153.9,5497.6,5419.022,99665.34,4243076,86991.48,0,7442.758,79008.13,0,3740.148,24633.57,6742.322,395324.1,58390.69,8020.367
endemic,discolor,0.025,WF,2941341,2859684,1.14E+07,1536266,1908855,9191669,39518.98,9362.194,400419.8,3487795,2110773,1885753,950977.3,167368.5,56798.76,28176.44,2040551,367832.6,178579.1,3828920,1.92E+07,237645.5,1059955,1.45E+08,2678.095,1864178,6073.132,239416.1,82230.12,0,2204384,3779475,150457.6,2021.19,4761716,26486.47,381633.3,427127.5,4912.36,0,67941.82,24328.39,1398.133,1189217,195488,13883.37,18622.31,86423.29,6208.365,20085.05,4377582,26592.75,73493.73,3708.212,1228.138,4163.328,20756.65,734.6938,734.6938,469798.5,1244252,99004.77,4538008,254791.2,4776.505,1837876,36487.85,51191.8,337318.8,3820635,5112.928,1890.528,1133.888,11670.45,96299.75,36814.79,134312.4,1.08E+07,68427.38,283769.3,7907.169,0,5443446,4418.82,1185.363,1004.716,2469348,67939.85,8858.579,7960.414,60687.43,32278.2,91747.78,332.4198,61051.07,4312.429,65708.41,1431.379,27917.21,89220.2,622744.6,9759.943,2083.425,0,8980.974,12153.93,1353.11,0,32843.05,5237108,16979.11,784.6306,193090.7,2277.359,0,12461.17,5065.61,0,5538.174,2875.595,0
endemic,discolor,0.025,WF,933188.3,1103812,6794892,1446731,1254701,8282640,112570.7,693.8006,264267.9,3283941,2155901,1819013,693934.3,216947.1,26786.54,20649.82,1990724,1390414,210885.5,3346621,2.12E+07,329822.8,4166819,1.23E+08,2747.302,2996151,23624.34,368951.6,69906.91,415.371,708513.8,2392294,161709.3,6215.966,2837293,1261165,513890.9,142122.3,12323.55,0,56234.29,30007.68,1454.157,1386673,335110.8,9102.765,24465.45,56877.32,9186.724,6859.799,2636879,18090.97,12363.02,11249.06,1179.636,1864.889,40827.41,661.6994,661.6994,2311555,7349776,178513.9,7329202,458145.4,8410.746,550397.8,59269.37,55307.39,403971.3,2298807,2347.467,8737.358,11646.44,7413.916,157637.5,3986.667,175745,1.56E+07,105735.3,1036963,2977.7,1174.548,1341834,682.9477,52645.39,948.382,2468960,63248.07,1297.481,13740.97,20580.16,31888.74,92393.79,368.5339,220962.4,21257.47,100753.2,1986.462,13057.32,83928.16,1077094,637.5059,4629.533,6356.224,4723.557,924.7342,1672.574,5353.36,136630.5,564923.2,37178.77,0,157296,40872.52,0,5418.308,7500.372,837.0159,14745.36,0,0
widespread,catesbaei,0.168,WF,2405445,1638438,7542560,1889871,1768135,3.67E+07,40556.34,2247.607,160792.1,2776694,1125741,1881784,1119393,275662.8,32602.57,39349.32,2530219,424168.1,99099,1345088,1.09E+07,194809.2,3448043,1.59E+08,13700.14,876765.2,2709.316,182163.5,25529.52,0,2018310,5431958,173629.5,5454.243,3355347,2510994,395553.6,207219.6,14415.81,341.9818,61235.19,35778.28,1445.781,774607.1,19337.32,21167.32,6412.773,220295.7,14704.01,19282.61,1735846,16689.6,1204.039,4916.463,1222.207,182111.2,48057.36,1026.778,1026.778,1455181,1568288,334501,3921428,143401.6,7683.669,4262776,27709.69,62226.11,563912.8,4316118,7142.58,7425.529,2097.79,2760.017,199943.1,9897.462,61207.49,1.76E+07,198464.2,1010053,0,813.8277,2729919,1181.489,1588454,948.6263,1088954,110104.2,4674.228,9758.128,59134.79,52621.82,49818.72,423.2567,68007.23,11963.96,17774.37,67954.96,9062.047,167862,483586.9,9012.146,940.2048,650.1748,16763.12,26386.92,10775.86,2343.529,48898.42,408051.8,17857.26,0,72470.38,1812.971,0,6576.047,1163.59,26722.42,37097.63,28333.81,0
widespread,catesbaei,0.168,WF,4665620,1571783,7535454,1730652,1382189,2.94E+07,80476.17,971.4621,232556.2,5347156,1657554,3642063,2106630,409223,37786.81,58167.92,2870214,506253,183134.1,2238861,1.55E+07,304160.2,2120481,1.85E+08,1878.116,2767557,7866.432,211701.9,16193.26,1024.24,5370982,1.07E+07,181304.4,4131.996,5342762,5794504,634139.1,770948.6,25843.42,0,56628.55,34021.62,9746.763,285806.3,61051.64,18177.61,7440.334,61138.62,8100.977,17774.41,2452851,14759.99,2153.688,7740.973,4056.043,315963.8,118875.4,878.8018,878.8018,2058385,2096591,602602.9,6548100,152398.2,9414.674,7105758,47896.64,48282.15,755747,1777227,2519.596,32074.88,0,14373.75,161410.5,10518.39,106680.3,2.02E+07,411397,2746860,0,1017.465,549078.1,1103.477,2503283,806.0472,1517520,132057,8486.827,26927.94,60305.07,165367.2,56364.28,2726.879,136476.6,19896.56,34727.33,816.3932,16800.97,186745.4,654657.1,10041.26,4234.19,0,46242.96,15251.58,1517.5,0,92066.34,542128.3,5042.606,0,4065.899,2407.225,0,5636.409,10729.45,48176.74,58273.39,0,765.8461
widespread,catesbaei,0.168,WF,2914557,1377522,6723944,1571171,1755700,1.93E+07,25618.42,1445.711,148350.9,4296362,1107431,3079578,1104973,268334.6,38646.78,46090.48,2482357,301998.5,92678.34,1679922,6541124,179082.8,1295048,2.50E+08,2681.908,1704460,8936.716,197307.5,23236.76,0,1646030,7024052,115660.9,1922.556,2251567,5406320,209268.2,1871054,13067.11,253.8275,58589.52,25306.62,1495.951,252319.4,81062.71,18225.61,1192.499,101720.8,5447.252,41657.59,1854945,19583.95,827.916,9336.055,3200.041,70607.52,74040.88,835.2427,835.2427,680580.9,1070111,496535.2,3580542,69099.45,13405.95,5067008,58156.64,51544.71,1252355,1461430,4081.612,28677.69,981.0248,9527.418,61171.92,2890.385,97142.55,1.50E+07,181476,2056475,0,851.475,750678.2,577.5704,514145.9,985.6919,1193513,113332.3,2146.709,11885.87,24227.73,92928.88,28462.05,288.5948,77153.19,18376.38,4517.506,3385.758,15915.32,115966.4,396428.6,18444.13,1655.924,738.2158,21318.78,12158.66,1476.026,724.7994,49407.67,984294,33925.88,0,15774.21,11471.76,0,5632.75,15112.88,31429.53,11135.28,11330.98,0
endemic,discolor,0.025,BR,1.51E+07,4910252,1.12E+07,5123671,1.05E+07,9.63E+07,442237.5,1452.526,458718.4,1.51E+07,4030733,1.47E+07,4517862,1089846,224334.3,29743.6,5177842,1612444,543431.2,7594162,2.19E+07,742428.7,1.83E+07,4.96E+08,14875.66,1.71E+07,322169,463817.6,580756.6,0,1.16E+07,5750524,359475.2,43621.8,1.69E+07,2.17E+07,1601850,745804.6,39719.22,9100.143,65163.1,21653.01,3981.286,3376815,155130.5,32500.92,68151.61,215625.8,20109.6,85049.12,2.49E+07,36133.2,49408.68,42756.04,6335.888,13159.64,281963,1103.477,1103.477,2443394,8403731,885643.5,1.65E+07,774171.8,25996.2,1.82E+07,465153.2,55628.63,6786564,6.55E+07,24689,77123.82,1966.142,36302.42,814579.1,90297.54,913487.2,1.06E+08,616821.8,6128778,93797.78,3845.857,2.08E+07,2315.583,68331.55,2534.635,1.36E+07,537612.6,53066.98,117227.7,255714.6,338489.7,352795.8,4464.337,397996.7,130549.7,9046.554,1262.921,1017247,463685,2218637,105703.2,31047.42,950.2369,153137.3,525674,23452.8,5115.097,107471,2056821,28683.34,1023.898,658682,7984.249,2512.874,25775.71,47005.03,30999.31,275286.7,43584.96,0
endemic,discolor,0.025,BR,1.14E+07,5349476,9745223,5816538,9547556,6.73E+07,623870.2,3053.347,470930.1,1.28E+07,3713302,9497373,3256005,990761.8,221109.4,25247.32,5537928,1849374,475682.5,7864246,1.50E+07,652753.2,2.52E+07,3.76E+08,27564.52,1.21E+07,127888.5,1068296,400254.1,0,8595597,6106246,320930.5,14276.33,1.63E+07,9439967,1964512,317305.4,21470.34,13694,81238.66,37720.97,15635.09,3343576,181622.8,28034.18,88629.1,141720.7,17158.23,121789.8,2.90E+07,52659.14,79986.27,43088.58,7100.685,8421.054,199094.1,5275.298,5275.298,2095064,1.04E+07,531976,1.41E+07,633851.8,31843.33,4.91E+07,151897.9,138565.3,3511917,5.18E+07,5282.207,44448.23,2071.392,32541.22,899456,44539.58,594059.9,1.06E+08,509712.1,5582078,11697.75,8543.522,2.21E+07,4576.308,49519.86,1022.865,1.59E+07,655727.8,19580.66,75677.73,98517.28,837501.3,202290.3,6313.504,304664.7,112935.9,12245.17,17697.99,147643,712120.3,1608813,40293.28,25219.79,1885.24,504428,220589,30353.01,26109.61,58151.75,3290267,212949.6,1167.199,406634.1,19906.7,0,22886.59,50002.65,43200.34,819633.6,169589.4,2008.152
widespread,catesbaei,0.168,JG,1.39E+07,3101317,1.12E+07,3085633,4890628,3.13E+07,907083.2,2676.222,571828.9,1.63E+07,4011025,7258974,3496362,1055811,132266.3,55134.84,3825337,374344.4,413130.8,9994297,1.37E+07,358955.4,1.09E+07,3.13E+08,3572.323,3658131,18449.01,240320.2,36094.07,13969.12,2.09E+07,7626030,450779.7,11086.11,1.60E+07,2.06E+07,2309965,369778.4,127238.5,0,71984.57,32802.84,13235.03,505014.5,85378.23,24904.22,4289.058,86448.35,10642.66,86557.03,9857091,16799.27,136647.8,34295.82,4072.329,83446.41,228600.6,9972.428,9972.428,4368020,1347952,709871.8,7857390,237739.4,9016.666,2.39E+07,93538.59,51721.55,2258488,7116026,1907.082,81263.55,8096.515,15957.19,207074,13028,524149.9,1.39E+07,1061525,4817498,819.5114,8102.611,1548738,1015.024,1697451,2476.29,1620948,179765.7,27291.34,75719.16,209478.1,285249.7,86868.72,6398.404,403513.9,65408.72,6543.455,212086.8,47138.3,250047.1,1363965,2728.188,25058.66,18505.5,184354.6,208024.5,30554.72,24946.44,125775.4,8737717,107398.2,0,60547.56,22734.46,0,23909.23,41058.71,83322.57,64264.95,1843.861,1254.639
widespread,catesbaei,0.168,JG,9400517,2205510,9855809,2491616,2969901,3.13E+07,175482.6,1596.724,249104.8,8499365,2043652,4745904,1863219,492953.5,75106.69,41956.38,2586055,448507.5,211875.1,3588377,9634177,441594.4,4505906,2.26E+08,3543.191,3405546,22921.67,234854.5,44970.25,1164.368,1.31E+07,6448454,213179.2,4419.142,7850096,1.58E+07,824876.8,400103.7,46449.94,856.9211,72193.71,18795.86,10178.67,233051,14924,24314.28,5400.847,30627.24,11361.76,29980.22,3508847,29493.02,13823.32,30861.5,1921.624,40752.05,162427.2,10533.83,10533.83,1668873,1756617,601453.7,8991024,191414.1,4975.783,6826590,74443.35,59343.6,1129466,4203358,4889.935,27909.27,1483.546,15419.01,125205.2,1484.567,196752.1,1.79E+07,331244.2,3807225,0,1632.514,711282.5,1694.304,1282165,2032.126,1523841,142700.7,18124.21,19228.67,114622.3,252604.9,86922.52,2564.859,489868.4,37176.76,7492.25,24913.2,78193.82,218081.6,707343.2,14601.78,9073.16,949.5543,46063.64,6197.875,1523.472,1213.227,110841.1,1514363,30069.5,0,105284.2,1883.004,0,11324.51,10396.6,83535.21,25852.4,6174.734,0
widespread,catesbaei,0.168,JG,1.82E+07,3206131,9467457,4672912,4872622,4.43E+07,1066922,393.9785,572589.4,1.40E+07,3676625,9670635,3332621,1255683,157524,46467.24,4650629,468316.4,650785.5,1.07E+07,1.82E+07,488648,8268596,3.05E+08,5922.293,3676348,34254.15,262051.6,67117.91,10046.64,2.57E+07,1.02E+07,542512.9,27803.4,1.98E+07,2.79E+07,2538493,165341,182421.9,1766.285,72878.51,24400.36,12653.05,658445.9,82536.75,33762.46,3542.802,92789.59,12483.53,139384.1,9905647,30340.3,965.6332,71349.85,5263.164,137402.9,305432.4,20058.08,20058.08,5123474,2358143,730438,1.03E+07,164494.5,594203.3,5.63E+07,119357,57797.55,2574928,8810623,3330.997,87675.41,18913.21,21629.38,153987.2,14484.15,586388.1,3.14E+07,1760591,7940150,433.2367,24740.79,1776093,590.5336,3508177,9149.642,2421502,141107.6,14235.48,83785.88,84318.05,453635.5,105314.9,8370.771,488697.1,83583.76,26267.74,274707.2,49010.7,193268.3,1065182,12403.6,26830.63,21777.61,153297.3,303572.3,45079.26,113673.6,155227.3,1.39E+07,285791.4,0,108495.7,16755.89,10915.4,23108.92,56253.52,104118.9,254483.4,5001.607,7625.572
endemic,discolor,0.025,JG,9886476,2933919,9112536,4800502,3953907,4.49E+07,380389.1,2207.37,358385,7247114,2353379,8873908,2721179,753200,77347.59,19428.09,3020757,3241005,502157,5781266,9570743,658305.3,1.03E+07,4.24E+08,2947.764,1.03E+07,143258.1,1146291,212084.2,0,1.44E+07,2528483,187869.1,24173.76,1.10E+07,4587154,1088548,498580.5,23345.62,12737.29,65001.17,47734.72,21500.54,2213205,58559.61,30801.58,50314.27,236287.1,50009.38,98597.75,2.40E+07,76979.48,86000.2,40083.07,5301.897,8303.278,180939.5,889.8994,889.8994,2401739,1.74E+07,473259.9,1.46E+07,791858.9,11140.97,5903238,321979.6,52673.55,2163014,4.25E+07,13634.43,22094.72,0,21316.9,460265.5,61917.86,744860.7,2.04E+08,365912.3,6039536,12800.43,9049.474,5755900,1287.059,48860.3,1567.674,1.21E+07,419654.2,27850.95,75696.72,234761.5,116523.9,345541.4,2268.726,329583.3,28504,7458.897,5402.133,623528.1,367491,2202930,33466.05,10258.19,1329.176,63622.18,107621.3,21640.52,19310.04,128060.9,3302446,114072.6,2955.47,241598.2,22558.41,0,21488.77,6357.901,20618.18,215773.7,9725.972,4381.175
endemic,discolor,0.025,JG,1.24E+07,3301260,8820883,6262890,3661326,3.28E+07,816360.2,42435.89,459825.3,1.02E+07,3143761,1.47E+07,2875719,949869.6,182788.3,9992.205,5844758,2372309,723308.6,8847674,1.23E+07,415285.4,1.18E+07,3.39E+08,3748.623,6297702,126273.4,865846.8,212363.4,3642.484,1.88E+07,3094932,208988,28711.68,1.27E+07,2284458,1443505,234352.6,14466.08,17015.45,62331.43,27239.24,16089.73,1474410,104167.4,23251.37,47542.95,560247.2,50167.38,157840.5,2.01E+07,86393.4,167542.9,37071.15,12380.9,16366.7,160909.8,824.8799,824.8799,1802218,1.21E+07,468469.3,9064749,616241.2,26150.51,1.26E+07,259384.8,56141.77,1783960,2.56E+07,25285.6,22045.52,0,22305.3,245844.6,113589.8,920770.5,1.53E+08,923300.1,5499498,53067.52,2077.814,6957520,10847.06,45489.5,1015.702,1.35E+07,308247.2,36337.12,42493.07,313346.1,125339.8,222720.8,2125.754,91317.5,33412.5,7391.342,92784.16,441404.5,347614.3,1532292,72337.95,29437.44,2696.694,71032.4,1461.631,29191.77,32762.38,67939.76,7498116,538616.8,27734.5,51877.5,25359.87,3120.458,27014.95,23625.03,17907.47,249418.4,528833.4,3472.63